,,,,,,,,,,,,,,,,,,,,,,,,,
Module Code,Admin Module,,,,,,,,Pass,,,,,,,,,,,,,,,,
Test requirement,"This sheet contains test cases that verify all core Admin functionalities, including authentication, role validation, menu management, staff management, and order processing.",,,,,,,,Fail,,,,,,,,,,,,,,,,
Tester,"Nguy?n Ph?m Hoàng Quân, Nguy?n Tr?n Qu?c Ti?n",,,,,,,,,,,,,,,,,,,,,,,,
Pass,Fail,Untested,N/A,Number of Test cases,,,,,Untesed,,,,,,,,,,,,,,,,
0,0,0,0,0,,,,,N/A,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Test Case Description,Test Case Procedure,Expected Output,Inter-test case Dependence,Result,Test data,Note,,,,,,,,,,,,,,,,,,
Function Admin Login,,,,,,,,,,,,,,,,,,,,,,,,,
Admin-001,Login with valid credentials,1. Open Login page; 2. Enter valid email & password; 3. Click Login,"Login successful, redirect to dashboard",email=admin@example.com / pass=Valid123,,Admin must exist in DB,,,,,,,,,,,,,,,,,,,
Admin-002,Login with invalid password,1. Open Login page; 2. Enter correct email but wrong password; 3. Click Login,"Show error: ""Invalid password""",email=admin@example.com / pass=Wrong123,,Password must be validated correctly,,,,,,,,,,,,,,,,,,,
Function Admin Login Invalid Password,,,,,,,,,,,,,,,,,,,,,,,,,
Admin-003,Login with wrong password,1. Open Login page; 2. Enter valid email + wrong password; 3. Click Login,"Show error: ""Invalid password""",email=admin@example.com / pass=Wrong123,,Must not allow login with incorrect password,,,,,,,,,,,,,,,,,,,
Admin-004,Login with wrong password,1. Open Login page; 2. Enter valid email + wrong password; 3. Click Login,"Show error: ""Invalid password""",email=admin@example.com / pass=Wrong123,,Must not allow login with incorrect password,,,,,,,,,,,,,,,,,,,
Function Verify Admin Token,,,,,,,,,,,,,,,,,,,,,,,,,
Admin-TK-001,Access API with valid token,1. Login to get token; 2. Call protected API with valid token,API returns 200 with expected data,token=VALID_TOKEN,,Token must not be expired,,,,,,,,,,,,,,,,,,,
Admin-TK-002,Access API with invalid token,1. Use random invalid token; 2. Call protected API,API returns 401 Unauthorized,token=INVALID_TOKEN,,Unauthorized requests must be blocked,,,,,,,,,,,,,,,,,,,
Admin-TK-003,Access API without token,1. Do not send Authorization header; 2. Call protected API,API returns 401 Unauthorized,token=NONE,,Token is required for all protected endpoints,,,,,,,,,,,,,,,,,,,
Function Create Category,,,,,,,,,,,,,,,,,,,,,,,,,
Admin-CT-001,Create category with valid data,1. Login admin; 2. Go to Category page; 3. Enter valid category name; 4. Click Create,Category created successfully,CategoryName=Drinks,,Category name must be unique,,,,,,,,,,,,,,,,,,,
Admin-CT-002,Create category with missing name,1. Login; 2. Go to Category page; 3. Leave name empty; 4. Click Create,"Show error: ""Name is required""","CategoryName=""""",,Input validation must trigger,,,,,,,,,,,,,,,,,,,
Admin-CT-003,Create category with duplicate name,"1. Login; 2. Create category ""Drinks""; 3. Try creating ""Drinks"" again","Show error: ""Category already exists""",CategoryName=Drinks,,Duplicate must not be allowed,,,,,,,,,,,,,,,,,,,
Function Create Category Missing Name,,,,,,,,,,,,,,,,,,,,,,,,,
Admin-CTMN-001,Create category with empty name,1. Login; 2. Go to Category page; 3. Leave name empty; 4. Click Create,"Show error: ""Name is required""","CategoryName=""""",,Input validation must trigger,,,,,,,,,,,,,,,,,,,
Admin-CTMN-002,Create category with whitespace name,1. Login; 2. Open Category page; 3. Enter spaces only; 4. Click Create,"Show error: ""Name is required""","CategoryName=""   """,,System must trim & validate empty names,,,,,,,,,,,,,,,,,,,
Function Create Food,,,,,,,,,,,,,,,,,,,,,,,,,
Admin-FD-001,Create food with valid data,"1. Login; 2. Go to Food page; 3. Enter valid food name, price, category; 4. Click Create",Food created successfully,FoodName=Latte; Price=45000; Category=Drinks,,Category must exist before creating food,,,,,,,,,,,,,,,,,,,
Admin-FD-002,Create food with missing required fields,1. Login; 2. Go to Food page; 3. Leave name or price empty; 4. Click Create,"Show error: ""Missing required fields""","FoodName=""""; Price=""""",,System must validate required fields,,,,,,,,,,,,,,,,,,,
